Locality,Total_SqFt,BHK,Bathrooms,Dist_to_School_km,Dist_to_Hospital_km,Dist_to_Railway_km,Parking_Available,Gated_Security,Price_INR
Sulebailu,1681,3,3,5.3,8.29,9.19,1,0,6028000.0
Bommanakatte,4040,4,5,3.82,5.31,9.82,1,0,16906000.0
Basavanagudi,2452,3,3,0.26,1.4,11.11,1,0,18400000.0
KHB Colony,1856,3,3,1.29,2.99,8.67,1,0,10763000.0
KHB Colony,3618,4,4,1.95,2.78,6.01,1,0,20800000.0
Gopala,4319,4,4,2.17,1.69,11.72,1,0,23207000.0
Sulebailu,3606,4,4,3.93,8.26,8.53,0,0,13338000.0
Gadikoppa,1397,2,2,0.59,1.05,5.14,1,1,10612000.0
Vinoba Nagar,2402,3,3,1.07,2.44,10.26,1,1,16293000.0
Gadikoppa,3470,4,4,2.13,3.0,11.96,1,1,25018000.0
Basavanagudi,1313,2,2,0.52,0.79,2.42,1,0,9735000.0
Vinoba Nagar,1087,2,2,1.04,0.73,8.39,1,1,7741000.0
Alkola,3977,4,4,1.83,3.4,10.64,1,0,20302000.0
Gopala,2722,3,3,1.27,1.54,4.86,1,0,14929000.0
Sulebailu,1958,3,3,5.71,6.39,6.65,1,0,7489000.0
Alkola,2728,3,3,1.22,4.32,6.41,1,0,13622000.0
Gadikoppa,668,1,1,1.49,1.66,7.97,1,0,4654000.0
Gadikoppa,880,1,1,1.45,2.34,2.9,0,0,6243000.0
Basavanagudi,2089,3,3,0.43,0.32,2.33,1,0,15700000.0
Sulebailu,2353,3,3,3.12,8.2,7.91,0,0,8513000.0
Sulebailu,706,1,1,3.18,6.11,9.87,1,0,2420000.0
KHB Colony,655,1,1,1.62,1.74,6.09,1,0,3712000.0
Sulebailu,3346,4,4,5.14,8.58,6.63,1,0,12580000.0
Alkola,2506,3,3,1.4,2.94,1.22,1,0,12600000.0
KHB Colony,2733,3,3,1.12,2.78,7.53,1,0,15833000.0
KHB Colony,2875,4,4,1.59,2.49,5.75,0,0,16718000.0
Vinoba Nagar,3260,4,4,1.47,1.64,4.92,1,1,22325000.0
Sulebailu,2205,3,3,3.48,5.75,4.14,0,0,8160000.0
KHB Colony,1760,3,4,1.52,1.82,11.81,0,0,10118000.0
Bommanakatte,2470,3,3,3.14,4.51,8.36,1,0,10421000.0
KHB Colony,3362,4,4,1.28,2.54,3.06,1,0,19526000.0
Vinoba Nagar,2787,3,4,1.42,1.08,7.39,0,1,18626000.0
Alkola,2906,4,5,1.5,2.34,1.7,1,0,14953000.0
Vinoba Nagar,1942,3,3,1.64,1.69,6.19,1,1,13319000.0
Vinoba Nagar,2204,3,3,1.95,0.75,9.04,1,0,15023000.0
Sulebailu,4243,4,4,3.42,8.18,3.22,0,0,16026000.0
Basavanagudi,3836,4,4,1.06,0.88,4.95,1,0,29012000.0
KHB Colony,1215,2,2,1.46,1.6,9.22,1,0,6999000.0
Vinoba Nagar,2792,3,3,1.08,1.59,10.97,1,0,19043000.0
Gadikoppa,3201,4,5,2.09,2.24,6.87,1,1,23288000.0
Sulebailu,4112,4,4,3.75,7.98,1.37,1,0,15752000.0
Vinoba Nagar,1741,3,3,0.67,2.19,2.4,1,1,12118000.0
Basavanagudi,3828,4,4,1.14,1.14,8.05,1,0,28513000.0
Basavanagudi,2283,3,4,1.38,0.96,5.41,1,0,17207000.0
Sulebailu,962,2,3,4.76,7.02,7.73,0,0,3500000.0
Gadikoppa,4476,4,4,0.81,2.15,7.67,1,1,32539000.0
Gadikoppa,3968,4,4,1.4,1.23,11.83,1,0,28981000.0
Basavanagudi,4102,4,5,0.64,1.24,1.05,1,0,30912000.0
KHB Colony,2891,4,4,1.92,1.69,4.82,1,0,16529000.0
Bommanakatte,1362,2,3,2.94,5.5,5.61,1,0,5600000.0
Vinoba Nagar,884,1,1,1.45,0.53,8.3,0,1,6077000.0
Bommanakatte,1686,3,3,3.76,5.79,1.74,1,0,6814000.0
Alkola,1551,2,2,1.31,2.48,1.4,1,0,7788000.0
Sulebailu,1994,3,3,4.57,6.76,5.41,1,0,7444000.0
KHB Colony,4315,4,5,1.86,2.89,5.11,1,0,24802000.0
KHB Colony,654,1,2,1.72,2.32,1.3,1,0,4027000.0
Gadikoppa,2606,3,3,0.54,1.21,9.8,0,1,18835000.0
Gadikoppa,1711,3,3,2.21,2.66,5.37,1,0,12218000.0
KHB Colony,1422,2,2,1.01,1.17,3.29,0,0,8199000.0
Bommanakatte,681,1,1,4.54,5.03,3.85,1,0,2462000.0
KHB Colony,3790,4,4,1.62,1.82,7.07,1,0,22010000.0
Sulebailu,1987,3,4,5.61,6.95,10.84,1,0,7326000.0
Vinoba Nagar,3786,4,4,1.61,1.9,5.43,1,1,25782000.0
Basavanagudi,3780,4,4,1.09,1.27,6.83,1,0,28361000.0
Vinoba Nagar,3581,4,5,1.11,1.49,8.92,0,0,24101000.0
Alkola,767,1,1,1.95,3.24,7.31,1,0,3698000.0
Basavanagudi,4147,4,4,0.75,0.66,11.54,0,0,31061000.0
Basavanagudi,748,1,1,0.77,1.39,8.94,1,0,5633000.0
Sulebailu,697,1,1,5.86,5.54,6.32,1,0,2169000.0
Bommanakatte,4162,4,4,4.89,4.46,7.86,1,0,17645000.0
Vinoba Nagar,3360,4,4,1.12,1.91,7.58,1,0,22819000.0
Alkola,3464,4,5,2.43,3.12,3.04,1,0,17471000.0
Gadikoppa,938,2,2,2.11,2.32,8.62,1,0,6476000.0
Gopala,1088,2,2,1.08,3.26,11.18,0,0,5682000.0
Basavanagudi,3757,4,4,0.24,1.11,4.27,1,0,28440000.0
KHB Colony,3642,4,4,1.83,1.07,7.56,1,0,21127000.0
Bommanakatte,4484,4,5,4.24,5.02,8.97,0,0,18930000.0
Basavanagudi,3629,4,4,1.01,1.35,7.77,1,0,26974000.0
KHB Colony,1338,2,2,1.02,2.75,6.82,1,0,7933000.0
Basavanagudi,917,2,2,1.02,1.34,11.82,1,0,6820000.0
Vinoba Nagar,4030,4,4,1.6,0.51,6.14,1,1,27754000.0
Gadikoppa,1304,2,2,0.59,1.22,5.31,0,1,9753000.0
Basavanagudi,2708,3,3,0.97,1.48,10.73,1,0,20338000.0
Gadikoppa,4331,4,4,0.96,2.66,2.32,0,1,31237000.0
Vinoba Nagar,3400,4,4,1.74,2.1,7.93,1,1,23394000.0
Alkola,4161,4,4,1.74,4.49,10.87,1,0,21473000.0
Basavanagudi,3791,4,4,0.25,1.36,10.46,1,0,28292000.0
Basavanagudi,4320,4,5,1.31,0.25,4.62,1,0,32367000.0
Alkola,1554,2,2,1.38,2.01,8.65,0,0,7859000.0
Gadikoppa,3620,4,4,2.48,1.12,10.71,1,1,26251000.0
Alkola,2191,3,3,1.82,4.16,9.07,1,0,11010000.0
Alkola,4242,4,5,1.5,2.6,11.23,0,0,21537000.0
Alkola,3069,4,5,2.32,4.4,6.12,1,0,15544000.0
Gopala,3003,4,4,2.51,2.15,3.12,0,0,15982000.0
Alkola,1736,3,3,1.17,2.94,1.1,1,0,8769000.0
KHB Colony,1185,2,2,1.84,1.78,2.97,1,0,6759000.0
Sulebailu,1819,3,4,5.31,8.79,2.83,1,0,6592000.0
Sulebailu,1073,2,3,5.56,8.96,8.44,1,0,3975000.0
Alkola,1850,3,3,1.58,2.16,10.04,1,0,9334000.0
KHB Colony,4209,4,5,1.47,2.89,2.12,1,0,24483000.0
KHB Colony,1486,2,2,1.3,2.68,9.5,1,0,8661000.0
Basavanagudi,683,1,1,0.56,1.48,5.5,1,0,5222000.0
KHB Colony,3833,4,4,1.03,2.3,5.05,1,0,22314000.0
Sulebailu,1584,2,2,5.33,8.08,10.29,1,0,5734000.0
Alkola,948,2,3,1.05,4.3,7.78,1,0,4606000.0
Vinoba Nagar,1859,3,3,1.34,0.95,2.77,1,1,12879000.0
Gopala,1967,3,3,2.97,1.87,6.11,1,0,10598000.0
Sulebailu,2167,3,3,5.27,8.81,10.99,1,0,7975000.0
Alkola,1711,3,4,1.15,3.43,1.2,1,0,8590000.0
Gadikoppa,2551,3,3,0.64,2.07,10.71,0,1,18280000.0
Gopala,1517,2,2,2.95,2.0,8.63,1,0,8130000.0
Gadikoppa,2594,3,4,2.29,2.19,7.78,1,0,18584000.0
Bommanakatte,1887,3,3,4.06,6.35,7.73,1,0,7905000.0
Sulebailu,3985,4,4,4.44,5.16,2.8,1,0,15560000.0
Gopala,3661,4,4,2.3,2.7,7.77,1,0,19947000.0
Basavanagudi,4302,4,4,0.26,0.41,1.23,1,0,32355000.0
Basavanagudi,4023,4,4,0.84,0.31,5.44,1,0,30066000.0
KHB Colony,1955,3,4,1.96,1.83,10.31,1,0,11262000.0
Bommanakatte,1987,3,3,3.76,5.63,6.65,1,0,8268000.0
Bommanakatte,3225,4,4,4.48,5.97,11.91,1,0,13499000.0
Basavanagudi,1891,3,3,0.81,1.29,3.59,1,0,14489000.0
Gopala,1539,2,2,2.03,2.53,1.76,1,0,8027000.0
Sulebailu,2451,3,3,4.78,7.32,8.29,0,0,8828000.0
Bommanakatte,2713,3,3,2.52,5.77,7.59,1,0,11620000.0
KHB Colony,3974,4,4,1.88,1.88,4.64,1,0,22897000.0
Basavanagudi,3947,4,4,1.43,0.53,4.95,1,0,29723000.0
Alkola,2556,3,3,1.8,3.95,8.76,1,0,12964000.0
Alkola,1556,2,3,2.48,2.31,3.54,0,0,7883000.0
Vinoba Nagar,2766,3,3,0.77,0.68,2.14,1,1,19021000.0
Alkola,4482,4,5,1.48,4.43,7.38,1,0,22389000.0
Alkola,3849,4,4,1.8,2.31,2.46,0,0,19457000.0
Gadikoppa,2633,3,4,1.96,1.31,3.58,1,0,18975000.0
Vinoba Nagar,2958,4,4,1.06,0.54,3.69,1,1,20329000.0
Vinoba Nagar,1413,2,2,1.4,2.38,10.1,1,1,9835000.0
Sulebailu,3891,4,5,4.81,6.27,10.53,1,0,14783000.0
KHB Colony,1088,2,3,1.65,2.53,11.18,1,0,6308000.0
Gopala,4265,4,4,1.63,3.67,5.13,1,0,22752000.0
Vinoba Nagar,3747,4,4,1.35,1.26,7.03,1,1,25886000.0
Alkola,2563,3,4,1.88,2.42,8.07,1,0,13502000.0
Gadikoppa,3463,4,4,2.33,2.63,2.2,0,1,24917000.0
KHB Colony,3971,4,4,1.39,2.1,9.22,1,0,23226000.0
Alkola,1614,3,3,1.11,4.39,8.2,1,0,8163000.0
Bommanakatte,1388,2,2,2.99,4.5,7.79,1,0,5867000.0
Bommanakatte,2938,4,4,2.72,6.15,5.4,1,0,12432000.0
Gopala,4016,4,4,1.25,3.65,9.8,0,0,21620000.0
Basavanagudi,2945,4,4,0.75,0.31,9.97,1,0,22088000.0
Basavanagudi,1985,3,4,0.2,1.03,6.67,1,0,15073000.0
Gadikoppa,3025,4,4,2.31,2.54,7.12,1,1,22087000.0
Gadikoppa,3178,4,4,1.84,2.62,9.43,0,1,22818000.0
Bommanakatte,1849,3,3,3.84,4.54,4.43,1,0,7639000.0
KHB Colony,3831,4,4,1.26,2.26,1.64,0,0,22166000.0
Gopala,2177,3,3,2.44,3.23,11.9,0,0,11272000.0
Alkola,2203,3,3,1.87,2.69,1.87,0,0,10869000.0
Vinoba Nagar,3646,4,5,1.28,0.64,9.8,1,1,24947000.0
Sulebailu,2335,3,3,4.6,6.3,4.66,1,0,9025000.0
Sulebailu,715,1,2,4.69,8.83,2.93,1,0,2414000.0
Vinoba Nagar,910,2,2,0.65,1.4,9.32,1,1,6369000.0
Gadikoppa,1229,2,2,2.35,2.08,10.26,1,1,8787000.0
Gopala,1055,2,2,1.26,3.57,9.6,1,0,5523000.0
Basavanagudi,3417,4,4,0.92,0.6,5.37,1,0,25508000.0
Bommanakatte,4137,4,4,4.8,5.49,11.91,1,0,17492000.0
Alkola,3829,4,4,2.3,4.01,9.69,1,0,19388000.0
Vinoba Nagar,998,2,2,0.76,1.89,4.81,1,1,6989000.0
Sulebailu,1912,3,3,4.46,7.43,9.41,0,0,6966000.0
Alkola,3130,4,4,1.22,2.92,1.75,0,0,15861000.0
Gadikoppa,691,1,1,1.51,1.88,2.16,1,0,4983000.0
Sulebailu,3801,4,4,3.46,5.25,9.59,1,0,14613000.0
Vinoba Nagar,1582,2,2,0.71,0.74,4.34,0,1,10842000.0
Bommanakatte,1208,2,2,4.99,6.44,7.77,1,0,4912000.0
KHB Colony,4361,4,5,1.89,1.9,3.14,1,0,25617000.0
Bommanakatte,3629,4,4,4.33,6.31,1.12,1,0,15227000.0
KHB Colony,3308,4,4,1.14,2.07,3.37,0,0,19044000.0
Gopala,3140,4,4,2.6,3.9,6.37,0,0,16376000.0
Bommanakatte,2391,3,4,3.72,4.45,4.57,1,0,10376000.0
Gadikoppa,3898,4,4,1.29,1.92,9.64,1,1,28174000.0
Vinoba Nagar,3801,4,4,0.88,2.18,1.42,1,1,26222000.0
Alkola,1358,2,2,2.34,3.59,7.75,0,0,6487000.0
Gadikoppa,3587,4,4,1.86,1.08,1.93,1,0,25850000.0
Gadikoppa,4154,4,5,2.41,2.48,4.89,1,1,30141000.0
Bommanakatte,1162,2,3,2.75,5.98,9.41,1,0,4944000.0
Sulebailu,4294,4,5,5.9,6.18,9.46,1,0,16167000.0
Vinoba Nagar,2427,3,3,1.66,1.79,6.83,0,1,16474000.0
Basavanagudi,4347,4,4,1.47,0.98,7.41,1,0,32721000.0
Alkola,1121,2,2,2.39,2.56,5.09,1,0,5806000.0
Bommanakatte,3632,4,5,3.18,6.78,8.44,1,0,15156000.0
KHB Colony,3144,4,4,1.54,2.27,3.43,1,0,18388000.0
Sulebailu,4031,4,4,3.54,5.22,4.52,1,0,15529000.0
Basavanagudi,4137,4,5,1.09,0.32,11.62,1,0,30853000.0
KHB Colony,687,1,1,1.41,2.52,9.18,1,0,3988000.0
Vinoba Nagar,3799,4,4,0.74,1.62,9.93,1,1,25953000.0
Bommanakatte,3775,4,5,4.7,5.97,4.42,1,0,15974000.0
Gopala,3584,4,4,2.08,2.81,10.33,1,0,19465000.0
Bommanakatte,2856,4,5,4.37,6.28,8.46,1,0,11945000.0
Alkola,1724,3,4,1.58,3.61,9.58,1,0,8902000.0
Gopala,2428,3,3,1.0,1.95,1.32,0,0,12921000.0
Vinoba Nagar,3790,4,4,1.27,1.95,2.15,1,1,25803000.0
Gadikoppa,3413,4,4,1.7,2.2,1.25,1,1,24819000.0
Bommanakatte,1141,2,2,3.02,6.48,6.72,1,0,4523000.0
Sulebailu,782,1,1,3.71,6.49,1.69,1,0,2871000.0
Sulebailu,2436,3,4,4.91,6.98,2.96,1,0,9258000.0
KHB Colony,2725,3,3,1.74,2.9,3.23,1,0,15860000.0
Sulebailu,2628,3,3,5.79,8.13,1.62,1,0,10036000.0
Gopala,1180,2,2,1.37,3.51,6.04,1,0,6309000.0
Vinoba Nagar,3439,4,4,1.65,0.82,7.71,0,1,23736000.0
Gadikoppa,1584,2,2,0.64,1.11,4.1,1,0,11444000.0
Gadikoppa,4071,4,4,1.4,2.55,1.72,1,0,29344000.0
Bommanakatte,2897,4,4,3.36,4.95,9.49,0,0,12209000.0
Alkola,1771,3,4,2.32,2.98,10.11,1,0,8813000.0
Sulebailu,1936,3,3,5.94,5.58,8.98,0,0,6840000.0
Basavanagudi,983,2,2,0.44,0.23,8.92,1,0,7330000.0
Vinoba Nagar,2974,4,4,1.32,2.46,3.5,1,1,20445000.0
Gopala,1565,2,2,2.69,2.57,2.55,1,0,8578000.0
Vinoba Nagar,3737,4,5,1.79,1.42,9.24,1,1,25570000.0
Alkola,2327,3,3,1.75,2.85,10.59,1,0,11694000.0
Bommanakatte,2501,3,3,2.54,4.38,8.26,0,0,10689000.0
Vinoba Nagar,1046,2,2,0.64,1.19,4.11,1,1,7440000.0
KHB Colony,4107,4,4,1.4,1.19,5.85,0,0,23894000.0
Basavanagudi,4268,4,4,1.04,0.45,10.87,1,0,31984000.0
Bommanakatte,1067,2,2,2.92,5.84,4.99,1,0,4363000.0
Bommanakatte,3800,4,5,3.41,6.2,10.02,1,0,15879000.0
Sulebailu,3613,4,4,5.57,5.47,9.14,1,0,13742000.0
Basavanagudi,4204,4,4,0.62,1.5,11.78,1,0,31634000.0
Gadikoppa,4466,4,4,0.69,1.06,10.05,1,1,32501000.0
Sulebailu,2858,4,4,5.96,8.61,8.17,1,0,10618000.0
Gadikoppa,1849,3,3,2.26,2.05,3.69,0,0,13028000.0
Gopala,640,1,1,1.38,3.03,5.79,1,0,3662000.0
Vinoba Nagar,3484,4,4,1.77,1.01,1.34,1,0,23574000.0
Bommanakatte,723,1,1,2.68,4.23,4.74,1,0,3031000.0
KHB Colony,2429,3,3,1.07,2.53,5.49,1,0,14054000.0
Vinoba Nagar,2387,3,3,0.89,2.31,8.38,1,0,16290000.0
Gadikoppa,3205,4,4,2.23,2.09,5.18,1,0,22951000.0
Gadikoppa,869,1,1,1.06,2.72,4.21,1,1,6431000.0
Vinoba Nagar,2931,4,5,1.94,1.95,4.35,1,0,19961000.0
Gadikoppa,3112,4,4,0.52,1.94,4.31,1,0,22729000.0
Alkola,2981,4,4,1.07,4.26,10.37,1,0,15265000.0
KHB Colony,1878,3,4,1.24,2.59,1.38,1,0,10909000.0
Gadikoppa,1093,2,2,1.54,1.13,10.15,1,0,8044000.0
Gadikoppa,3127,4,4,1.53,1.86,4.49,1,1,22789000.0
Vinoba Nagar,1258,2,2,1.17,1.71,7.94,1,1,8789000.0
Bommanakatte,1371,2,2,3.72,5.96,11.46,1,0,5381000.0
KHB Colony,1984,3,3,1.63,1.14,3.8,1,0,11438000.0
Gadikoppa,2090,3,3,2.44,1.66,6.3,0,1,15054000.0
Basavanagudi,2475,3,3,0.87,0.21,1.08,1,0,18823000.0
Vinoba Nagar,1303,2,2,0.94,2.36,5.37,0,1,8832000.0
Gadikoppa,2412,3,3,1.51,2.75,6.43,1,1,17471000.0
Vinoba Nagar,3839,4,4,1.12,2.32,8.85,1,1,26208000.0
Basavanagudi,3249,4,4,1.27,0.2,8.0,0,0,24538000.0
Gopala,1947,3,3,1.91,2.42,2.33,1,0,10606000.0
Bommanakatte,1736,3,4,2.7,5.06,11.36,1,0,7114000.0
Alkola,2596,3,4,1.95,4.28,7.74,1,0,13333000.0
Bommanakatte,3101,4,5,4.76,4.2,6.87,0,0,12923000.0
Alkola,2882,4,4,1.87,2.11,2.35,1,0,14639000.0
KHB Colony,3568,4,4,1.65,2.69,8.62,1,0,20475000.0
Basavanagudi,2621,3,3,0.78,1.24,10.05,1,0,19857000.0
KHB Colony,1664,3,3,1.32,2.16,5.08,1,0,9804000.0
KHB Colony,3961,4,5,1.43,1.29,10.79,1,0,23170000.0
Bommanakatte,2410,3,4,4.11,5.91,4.75,0,0,9669000.0
Sulebailu,1175,2,2,4.09,5.87,11.87,1,0,4172000.0
Bommanakatte,2248,3,4,3.71,4.08,6.56,1,0,9402000.0
Sulebailu,962,2,2,3.48,5.09,9.32,1,0,3508000.0
Sulebailu,3132,4,4,4.11,6.5,6.21,1,0,11901000.0
Basavanagudi,676,1,1,0.4,0.24,11.68,1,0,5214000.0
Basavanagudi,3836,4,4,0.89,0.42,3.72,1,0,29018000.0
Basavanagudi,4234,4,5,0.86,1.08,3.59,1,0,31749000.0
Bommanakatte,2122,3,4,3.96,7.0,2.66,1,0,8891000.0
Alkola,4435,4,4,1.49,3.98,6.08,1,0,22437000.0
Gadikoppa,1907,3,3,1.92,2.81,2.46,1,1,13783000.0
Sulebailu,4332,4,4,4.65,5.23,8.49,1,0,16288000.0
Gopala,4195,4,4,2.9,2.78,2.03,1,0,22258000.0
Bommanakatte,3773,4,4,3.91,5.32,7.66,1,0,15954000.0
Alkola,4425,4,4,2.34,3.14,5.88,1,0,22667000.0
Alkola,3719,4,4,1.09,2.01,8.04,1,0,19039000.0
Gadikoppa,2794,3,3,1.01,1.06,11.69,1,1,20710000.0
Basavanagudi,2599,3,3,0.63,1.15,6.81,1,0,19634000.0
Alkola,618,1,1,2.49,2.22,1.03,0,0,3120000.0
KHB Colony,2172,3,4,1.94,2.64,9.9,1,0,12329000.0
Alkola,2841,4,5,1.6,3.81,4.08,1,0,14723000.0
Basavanagudi,4356,4,4,0.21,0.33,10.56,1,0,32914000.0
Vinoba Nagar,3022,4,4,0.86,1.46,2.6,1,1,20862000.0
Alkola,3551,4,4,1.23,2.67,1.24,1,0,18041000.0
KHB Colony,2968,4,4,1.22,1.07,3.36,1,0,17155000.0
KHB Colony,3694,4,4,1.45,2.64,7.1,1,0,21485000.0
Gopala,3685,4,4,1.47,2.26,4.19,1,0,19781000.0
KHB Colony,3961,4,5,1.63,1.11,9.24,1,0,23231000.0
KHB Colony,1864,3,3,1.05,1.55,8.78,0,0,10820000.0
Basavanagudi,1267,2,3,0.67,0.55,10.27,1,0,9467000.0
Bommanakatte,3558,4,4,3.56,5.13,11.3,1,0,15177000.0
Vinoba Nagar,3279,4,4,0.71,1.01,10.63,0,0,22238000.0
Alkola,2408,3,3,2.42,2.67,6.23,1,0,11839000.0
Gadikoppa,2176,3,3,0.72,2.27,9.48,0,1,15736000.0
Basavanagudi,2857,4,4,0.74,1.14,5.08,1,0,21621000.0
Bommanakatte,3268,4,4,2.59,5.18,11.24,0,0,13912000.0
Alkola,1651,3,3,1.08,3.71,6.15,1,0,8518000.0
Sulebailu,2273,3,3,3.3,7.75,3.66,1,0,8617000.0
Gopala,2605,3,3,2.9,1.58,9.1,1,0,13971000.0
Basavanagudi,770,1,1,0.25,0.72,9.39,1,0,5950000.0
Gadikoppa,4358,4,4,0.76,2.71,7.33,0,1,31262000.0
KHB Colony,2359,3,3,1.77,2.04,4.83,1,0,13592000.0
Gadikoppa,1319,2,2,1.79,2.95,10.32,0,1,9590000.0
Gadikoppa,3716,4,4,1.11,1.13,3.51,1,1,27106000.0
KHB Colony,1747,3,3,1.06,2.92,11.37,1,0,10116000.0
KHB Colony,4471,4,5,1.37,1.45,3.15,0,0,25840000.0
Gopala,3696,4,4,2.16,1.87,9.92,1,0,20163000.0
Alkola,1672,3,3,1.51,3.81,6.93,0,0,8147000.0
Sulebailu,3913,4,4,5.79,6.99,3.53,0,0,14438000.0
Gopala,2662,3,3,2.9,3.91,7.83,1,0,14116000.0
Sulebailu,2857,4,4,3.54,6.83,7.17,1,0,10985000.0
Bommanakatte,3832,4,5,4.99,5.58,5.31,1,0,16148000.0
Vinoba Nagar,2919,4,4,1.25,1.31,11.48,1,0,20008000.0
KHB Colony,2958,4,4,1.01,1.03,10.12,1,0,17203000.0
Basavanagudi,4025,4,4,0.71,1.44,11.64,1,0,30306000.0
Bommanakatte,1094,2,2,3.65,6.34,11.56,1,0,4497000.0
Basavanagudi,685,1,1,1.29,1.22,5.15,1,0,5101000.0
KHB Colony,3103,4,4,1.25,1.49,5.43,1,0,18096000.0
Basavanagudi,609,1,1,0.4,1.49,11.5,1,0,4203000.0
Alkola,1579,2,3,1.05,2.14,5.89,1,0,8365000.0
Vinoba Nagar,873,1,1,1.08,1.65,5.57,1,1,6046000.0
Vinoba Nagar,2024,3,4,1.52,0.95,5.75,1,1,14111000.0
Basavanagudi,2746,3,3,1.29,0.39,5.73,1,0,20618000.0
Sulebailu,2779,3,3,5.67,7.18,3.25,1,0,10583000.0
Gadikoppa,3818,4,4,0.57,2.27,5.01,1,1,27585000.0
